"ID","Ref No","Methods","Scale","Crop","Country","Site(location)","Region","latitude","longitude","Current Average Temperature (dC)_area_weighted","Current Average Temperature_point_coordinate (dC)","Current Annual Precipitation (mm) _area_weighted","Current Annual Precipitation  (mm) _point_coordinate","Future_Mid-point","Baseline_Mid-point","Time slice","Climate scenario","Scenario source","Local delta T","Local delta T from 2005","Annual Precipitation change each study  (mm)","Annual Precipitation change  from 2005 (mm)","Global delta T from pre-industrial period","Global delta T from 2005","Projected yield (t/ha)","Climate impacts (%)","Climate impacts relative to 2005","Climate impacts per dC (%)","Climate impacts per decade (%)","CO2","CO2 ppm","Fertiliser","Irrigation","Cultivar","Soil organic matter management","Planting time","Tillage","Others","Adaptation","Adaptation type","Reference","doi","Publication year","Note1 
(* = corrected by HW)","Note2 
(* = Local temperature is  estimated )","Note3 
(* = Local delta Pr is  estimated )","Note4 
(* = Global temperature is  estimated )","Seasonal Precipitation change (mm) each study (local baseperiod)","Base precipitation (annual) (mm) (local base period)","Annual Preciptation change (%) (relative to local base)","Base precipitation (seasonal) (mm) (local base period)"
780,34,"SCOPUS-NewSearch","Global","Maize","Russia","NA","Europe",61.524,105.319,5.21675701452928,-8.371054649,574.156776652654,401.8323094,2050,2005,"MC","RCP8.5","CMIP5",3.033,3.033,33.2332,33.2332,2.593,1.803,5.2632,8.89028,8.89028,2.93118364655457,1.97561777777778,"Yes",545.35,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
781,34,"SCOPUS-NewSearch","Global","Maize","South Africa","NA","Africa",-30.5595,22.9375,18.3542626949576,17.98332596,624.703533434193,290.7712631,2050,2005,"MC","RCP2.6","CMIP5",0.95,0.95,-26.6596,-26.6596,1.791,1.001,9.2445,-11.1917,-11.1917,-11.7807368421053,-2.48704444444444,"Yes",442.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
782,34,"SCOPUS-NewSearch","Global","Maize","South Africa","NA","Africa",-30.5595,22.9375,18.3542626949576,17.98332596,624.703533434193,290.7712631,2050,2005,"MC","RCP4.5","CMIP5",1.377,1.377,-5.84319999999998,-5.84319999999998,2.094,1.304,9.1816,-11.1058,-11.1058,-8.06521423384168,-2.46795555555556,"Yes",487.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
783,34,"SCOPUS-NewSearch","Global","Maize","South Africa","NA","Africa",-30.5595,22.9375,18.3542626949576,17.98332596,624.703533434193,290.7712631,2050,2005,"MC","RCP8.5","CMIP5",2.131,2.131,-37.9808,-37.9808,2.593,1.803,8.3642,-15.2278,-15.2278,-7.14584702017832,-3.38395555555556,"Yes",545.35,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
784,34,"SCOPUS-NewSearch","Global","Maize","Spain","NA","Europe",40.4637,-3.74922,14.372032285471,15.39500809,615.215482431029,421.1812796,2050,2005,"MC","RCP2.6","CMIP5",1.093,1.093,-44.1892,-44.1892,1.791,1.001,7.8173,-26.6746,-26.6746,-24.4049405306496,-5.92768888888889,"Yes",442.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
785,34,"SCOPUS-NewSearch","Global","Maize","Spain","NA","Europe",40.4637,-3.74922,14.372032285471,15.39500809,615.215482431029,421.1812796,2050,2005,"MC","RCP4.5","CMIP5",1.473,1.473,-54.78,-54.78,2.094,1.304,7.2903,-31.552,-31.552,-21.4202308214528,-7.01155555555555,"Yes",487.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
786,34,"SCOPUS-NewSearch","Global","Maize","Spain","NA","Europe",40.4637,-3.74922,14.372032285471,15.39500809,615.215482431029,421.1812796,2050,2005,"MC","RCP8.5","CMIP5",1.985,1.985,-56.9712,-56.9712,2.593,1.803,6.009,-39.7203,-39.7203,-20.0102267002519,-8.82673333333333,"Yes",545.35,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
787,34,"SCOPUS-NewSearch","Global","Maize","Tanzania","NA","Africa",-6.36903,34.8888,22.9670219764924,23.14546204,963.001034585313,616.1968107,2050,2005,"MC","RCP2.6","CMIP5",0.78,0.78,26.2944,26.2944,1.791,1.001,2.4372,-28.2488,-28.2488,-36.2164102564103,-6.27751111111111,"Yes",442.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
788,34,"SCOPUS-NewSearch","Global","Maize","Tanzania","NA","Africa",-6.36903,34.8888,22.9670219764924,23.14546204,963.001034585313,616.1968107,2050,2005,"MC","RCP4.5","CMIP5",1.288,1.288,-1.46079999999995,-1.46079999999995,2.094,1.304,1.9318,-33.685,-33.685,-26.152950310559,-7.48555555555556,"Yes",487.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
789,34,"SCOPUS-NewSearch","Global","Maize","Tanzania","NA","Africa",-6.36903,34.8888,22.9670219764924,23.14546204,963.001034585313,616.1968107,2050,2005,"MC","RCP8.5","CMIP5",1.793,1.793,33.2332,33.2332,2.593,1.803,1.4752,-39.0239,-39.0239,-21.7645844952593,-8.67197777777778,"Yes",545.35,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
790,34,"SCOPUS-NewSearch","Global","Maize","Thailand","NA","Asia",15.87,100.993,27.8008973508736,28.8458252,1323.25008594713,1254.342238,2050,2005,"MC","RCP2.6","CMIP5",0.885,0.885,12.7820000000001,12.7820000000001,1.791,1.001,0.4922,-91.2819,-91.2819,-103.143389830508,-20.2848666666667,"Yes",442.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
791,34,"SCOPUS-NewSearch","Global","Maize","Thailand","NA","Asia",15.87,100.993,27.8008973508736,28.8458252,1323.25008594713,1254.342238,2050,2005,"MC","RCP4.5","CMIP5",1.252,1.252,37.6156,37.6156,2.094,1.304,0.3966,-95.8061,-95.8061,-76.5224440894569,-21.2902444444444,"Yes",487.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
792,34,"SCOPUS-NewSearch","Global","Maize","Thailand","NA","Asia",15.87,100.993,27.8008973508736,28.8458252,1323.25008594713,1254.342238,2050,2005,"MC","RCP8.5","CMIP5",1.762,1.762,108.4644,108.4644,2.593,1.803,0.2042,-98.237,-98.237,-55.7531214528944,-21.8304444444444,"Yes",545.35,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
793,34,"SCOPUS-NewSearch","Global","Maize","Turkey","NA","Europe",38.9637,35.2433,13.2291788577514,10.6060133,739.560609499153,372.290774,2050,2005,"MC","RCP2.6","CMIP5",1.32,1.32,-3.652,-3.652,1.791,1.001,3.1648,-83.0175,-83.0175,-62.8920454545455,-18.4483333333333,"Yes",442.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
794,34,"SCOPUS-NewSearch","Global","Maize","Turkey","NA","Europe",38.9637,35.2433,13.2291788577514,10.6060133,739.560609499153,372.290774,2050,2005,"MC","RCP4.5","CMIP5",1.272,1.272,-6.93879999999999,-6.93879999999999,2.094,1.304,3.581,-75.3402,-75.3402,-59.2297169811321,-16.7422666666667,"Yes",487.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
795,34,"SCOPUS-NewSearch","Global","Maize","Turkey","NA","Europe",38.9637,35.2433,13.2291788577514,10.6060133,739.560609499153,372.290774,2050,2005,"MC","RCP8.5","CMIP5",2.123,2.123,-24.1032,-24.1032,2.593,1.803,3.2772,-78.3888,-78.3888,-36.9235986811116,-17.4197333333333,"Yes",545.35,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
796,34,"SCOPUS-NewSearch","Global","Maize","Uganda","NA","Africa",1.37333,32.2903,24.3347918139696,24.70428848,1213.28333569717,1160.122006,2050,2005,"MC","RCP2.6","CMIP5",0.828,0.828,15.7036,15.7036000000001,1.791,1.001,5.5892,-67.8732,-67.8732,-81.9724637681159,-15.0829333333333,"Yes",442.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
797,34,"SCOPUS-NewSearch","Global","Maize","Uganda","NA","Africa",1.37333,32.2903,24.3347918139696,24.70428848,1213.28333569717,1160.122006,2050,2005,"MC","RCP4.5","CMIP5",1.343,1.343,-26.6596,-26.6596,2.094,1.304,5.6811,-60.8556,-60.8556,-45.3131794489948,-13.5234666666667,"Yes",487.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
798,34,"SCOPUS-NewSearch","Global","Maize","Uganda","NA","Africa",1.37333,32.2903,24.3347918139696,24.70428848,1213.28333569717,1160.122006,2050,2005,"MC","RCP8.5","CMIP5",1.645,1.645,19.3556,19.3556,2.593,1.803,5.1213,-64.4409,-64.4409,-39.1737993920973,-14.3202,"Yes",545.35,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
799,34,"SCOPUS-NewSearch","Global","Maize","Ukraine","NA","Europe",48.3794,31.1656,9.3509600422842,8.969986916,625.053184426308,584.1236957,2050,2005,"MC","RCP2.6","CMIP5",1.568,1.568,9.86039999999998,9.86039999999998,1.791,1.001,6.7241,-13.4815,-13.4815,-8.59789540816326,-2.99588888888889,"Yes",442.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
800,34,"SCOPUS-NewSearch","Global","Maize","Ukraine","NA","Europe",48.3794,31.1656,9.3509600422842,8.969986916,625.053184426308,584.1236957,2050,2005,"MC","RCP4.5","CMIP5",1.674,1.674,4.38239999999998,4.38239999999998,2.094,1.304,6.9088,-11.5918,-11.5918,-6.92461170848268,-2.57595555555556,"Yes",487.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
801,34,"SCOPUS-NewSearch","Global","Maize","Ukraine","NA","Europe",48.3794,31.1656,9.3509600422842,8.969986916,625.053184426308,584.1236957,2050,2005,"MC","RCP8.5","CMIP5",2.489,2.489,0.730400000000031,0.730400000000031,2.593,1.803,6.7388,-13.6868,-13.6868,-5.4989152269988,-3.04151111111111,"Yes",545.35,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
802,34,"SCOPUS-NewSearch","Global","Maize","United States","NA","North America",37.0902,-95.7129,11.3934549237703,15.58033752,1031.81677248952,1203.976081,2050,2005,"MC","RCP2.6","CMIP5",1.493,1.493,16.0688,16.0688,1.791,1.001,8.9424,-14.0705,-14.0705,-9.42431346282652,-3.12677777777778,"Yes",442.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
803,34,"SCOPUS-NewSearch","Global","Maize","United States","NA","North America",37.0902,-95.7129,11.3934549237703,15.58033752,1031.81677248952,1203.976081,2050,2005,"MC","RCP4.5","CMIP5",2.107,2.107,1.09559999999997,1.09559999999997,2.094,1.304,7.8819,-23.8758,-23.8758,-11.3316563834836,-5.30573333333333,"Yes",487.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
804,34,"SCOPUS-NewSearch","Global","Maize","United States","NA","North America",37.0902,-95.7129,11.3934549237703,15.58033752,1031.81677248952,1203.976081,2050,2005,"MC","RCP8.5","CMIP5",2.8,2.8,2.55639999999998,2.55639999999998,2.593,1.803,6.7635,-35.1631,-35.1631,-12.55825,-7.81402222222222,"Yes",545.35,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
805,34,"SCOPUS-NewSearch","Global","Maize","Venezuela","NA","Central and South America",6.42375,-66.5897,26.9403708662211,26.31548882,1403.69120226886,2630.9577,2050,2005,"MC","RCP2.6","CMIP5",0.895,0.895,-36.1548000000001,-36.1548000000001,1.791,1.001,3.3988,-77.6159,-77.6159,-86.7216759776536,-17.2479777777778,"Yes",442.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
806,34,"SCOPUS-NewSearch","Global","Maize","Venezuela","NA","Central and South America",6.42375,-66.5897,26.9403708662211,26.31548882,1403.69120226886,2630.9577,2050,2005,"MC","RCP4.5","CMIP5",1.255,1.255,32.8680000000001,32.8680000000001,2.094,1.304,2.8604,-82.9945,-82.9945,-66.1310756972112,-18.4432222222222,"Yes",487.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
807,34,"SCOPUS-NewSearch","Global","Maize","Venezuela","NA","Central and South America",6.42375,-66.5897,26.9403708662211,26.31548882,1403.69120226886,2630.9577,2050,2005,"MC","RCP8.5","CMIP5",1.789,1.789,-16.0688,-16.0688,2.593,1.803,2.1912,-90.0987,-90.0987,-50.3626048071548,-20.0219333333333,"Yes",545.35,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
808,34,"SCOPUS-NewSearch","Global","Maize","Vietnam","NA","Asia",14.0583,108.277,25.037191933504,23.19642639,1828.24014204452,1920.868957,2050,2005,"MC","RCP2.6","CMIP5",0.976,0.976,63.5447999999999,63.5447999999999,1.791,1.001,2.4188,-64.227,-64.227,-65.8063524590164,-14.2726666666667,"Yes",442.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
809,34,"SCOPUS-NewSearch","Global","Maize","Vietnam","NA","Asia",14.0583,108.277,25.037191933504,23.19642639,1828.24014204452,1920.868957,2050,2005,"MC","RCP4.5","CMIP5",1.374,1.374,55.1451999999998,55.1451999999998,2.094,1.304,1.8213,-75.0271,-75.0271,-54.6048762736536,-16.6726888888889,"Yes",487.15,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
810,34,"SCOPUS-NewSearch","Global","Maize","Vietnam","NA","Asia",14.0583,108.277,25.037191933504,23.19642639,1828.24014204452,1920.868957,2050,2005,"MC","RCP8.5","CMIP5",1.924,1.924,89.4739999999999,89.4739999999999,2.593,1.803,1.3669,-82.1316,-82.1316,-42.6879417879418,-18.2514666666667,"Yes",545.35,"Yes","No","Yes","No","Yes","No","No","Yes","Combined","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
811,34,"SCOPUS-NewSearch","Global","Maize","Argentina","NA","Central and South America",-38.4161,-63.6167,17.9426369359136,16.0228672,972.263747767463,504.5507708,2080,2005,"EC","RCP2.6","CMIP5",0.659,0.659,-28.1204000000001,-28.1204000000001,1.833,1.043,4.7468,-23.9809,-23.9809,-36.3898330804249,-3.19745333333333,"Yes",431.45,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
812,34,"SCOPUS-NewSearch","Global","Maize","Argentina","NA","Central and South America",-38.4161,-63.6167,17.9426369359136,16.0228672,972.263747767463,504.5507708,2080,2005,"EC","RCP4.5","CMIP5",1.295,1.295,34.3288,34.3288,2.607,1.817,4.0091,-35.5405,-35.5405,-27.4444015444015,-4.73873333333333,"Yes",530.65,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
813,34,"SCOPUS-NewSearch","Global","Maize","Argentina","NA","Central and South America",-38.4161,-63.6167,17.9426369359136,16.0228672,972.263747767463,504.5507708,2080,2005,"EC","RCP8.5","CMIP5",2.79,2.79,2.27373675443232e-14,2.27373675443232e-14,4.118,3.328,2.3292,-62.9965,-62.9965,-22.5793906810036,-8.39953333333333,"Yes",763.4,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
814,34,"SCOPUS-NewSearch","Global","Maize","Austria","NA","Europe",47.5162,14.5501,9.08152741268319,6.711064339,992.478179975271,1456.383821,2080,2005,"EC","RCP2.6","CMIP5",1.303,1.303,-52.5888000000001,-52.5888000000001,1.833,1.043,6.527,24.4951,24.4951,18.7990023023791,3.26601333333333,"Yes",431.45,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
815,34,"SCOPUS-NewSearch","Global","Maize","Austria","NA","Europe",47.5162,14.5501,9.08152741268319,6.711064339,992.478179975271,1456.383821,2080,2005,"EC","RCP4.5","CMIP5",2.096,2.096,-43.4588,-43.4588,2.607,1.817,6.6477,28.6519,28.6519,13.6697996183206,3.82025333333333,"Yes",530.65,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
816,34,"SCOPUS-NewSearch","Global","Maize","Austria","NA","Europe",47.5162,14.5501,9.08152741268319,6.711064339,992.478179975271,1456.383821,2080,2005,"EC","RCP8.5","CMIP5",4.051,4.051,-71.214,-71.214,4.118,3.328,5.5439,14.2728,14.2728,3.52327820291286,1.90304,"Yes",763.4,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
817,34,"SCOPUS-NewSearch","Global","Maize","Brazil","NA","Central and South America",-14.235,-51.9253,23.3364912582576,27.84780884,1552.76715563705,1513.528663,2080,2005,"EC","RCP2.6","CMIP5",0.84,0.84,10.5908,10.5908,1.833,1.043,4.8924,-45.2906,-45.2906,-53.917380952381,-6.03874666666667,"Yes",431.45,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
818,34,"SCOPUS-NewSearch","Global","Maize","Brazil","NA","Central and South America",-14.235,-51.9253,23.3364912582576,27.84780884,1552.76715563705,1513.528663,2080,2005,"EC","RCP4.5","CMIP5",1.886,1.886,32.5028000000001,32.5028000000001,2.607,1.817,3.6452,-61.4387,-61.4387,-32.5761930010604,-8.19182666666667,"Yes",530.65,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
819,34,"SCOPUS-NewSearch","Global","Maize","Brazil","NA","Central and South America",-14.235,-51.9253,23.3364912582576,27.84780884,1552.76715563705,1513.528663,2080,2005,"EC","RCP8.5","CMIP5",3.768,3.768,-2.19119999999994,-2.19119999999994,4.118,3.328,1.7922,-84.8972,-84.8972,-22.5311040339703,-11.3196266666667,"Yes",763.4,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
820,34,"SCOPUS-NewSearch","Global","Maize","Canada","NA","North America",56.1304,-106.347,7.20893963171389,-0.093658052,1039.97491038139,554.53924,2080,2005,"EC","RCP2.6","CMIP5",1.549,1.549,45.2848,45.2848,1.833,1.043,8.961,5.76054,5.76054,3.7188766946417,0.768072,"Yes",431.45,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
821,34,"SCOPUS-NewSearch","Global","Maize","Canada","NA","North America",56.1304,-106.347,7.20893963171389,-0.093658052,1039.97491038139,554.53924,2080,2005,"EC","RCP4.5","CMIP5",2.915,2.915,67.1968,67.1968,2.607,1.817,8.5399,1.64808,1.64808,0.565379073756432,0.219744,"Yes",530.65,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
822,34,"SCOPUS-NewSearch","Global","Maize","Canada","NA","North America",56.1304,-106.347,7.20893963171389,-0.093658052,1039.97491038139,554.53924,2080,2005,"EC","RCP8.5","CMIP5",5.261,5.261,106.6384,106.6384,4.118,3.328,6.2741,-23.1296,-23.1296,-4.3964265348793,-3.08394666666667,"Yes",763.4,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
823,34,"SCOPUS-NewSearch","Global","Maize","China","NA","Asia",35.8617,104.195,11.848693561574,7.118629932,710.082835474644,390.3343252,2080,2005,"EC","RCP2.6","CMIP5",1.413,1.413,70.8488,70.8488,1.833,1.043,7.1133,-14.6016,-14.6016,-10.3337579617834,-1.94688,"Yes",431.45,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
824,34,"SCOPUS-NewSearch","Global","Maize","China","NA","Asia",35.8617,104.195,11.848693561574,7.118629932,710.082835474644,390.3343252,2080,2005,"EC","RCP4.5","CMIP5",2.416,2.416,114.3076,114.3076,2.607,1.817,6.2673,-26.5575,-26.5575,-10.9923427152318,-3.541,"Yes",530.65,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
825,34,"SCOPUS-NewSearch","Global","Maize","China","NA","Asia",35.8617,104.195,11.848693561574,7.118629932,710.082835474644,390.3343252,2080,2005,"EC","RCP8.5","CMIP5",4.54,4.54,126.3592,126.3592,4.118,3.328,4.2588,-50.2469,-50.2469,-11.0675991189427,-6.69958666666667,"Yes",763.4,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
826,34,"SCOPUS-NewSearch","Global","Maize","Croatia","NA","Europe",45.1,15.2,11.7803003672153,9.789481163,951.619760659453,1455.086332,2080,2005,"EC","RCP2.6","CMIP5",1.328,1.328,-26.6596,-26.6596,1.833,1.043,6.5898,-4.18735,-4.18735,-3.153125,-0.558313333333333,"Yes",431.45,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
827,34,"SCOPUS-NewSearch","Global","Maize","Croatia","NA","Europe",45.1,15.2,11.7803003672153,9.789481163,951.619760659453,1455.086332,2080,2005,"EC","RCP4.5","CMIP5",2.073,2.073,-66.8315999999999,-66.8315999999999,2.607,1.817,5.8179,-14.2622,-14.2622,-6.8799807042933,-1.90162666666667,"Yes",530.65,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
828,34,"SCOPUS-NewSearch","Global","Maize","Croatia","NA","Europe",45.1,15.2,11.7803003672153,9.789481163,951.619760659453,1455.086332,2080,2005,"EC","RCP8.5","CMIP5",4.17,4.17,-130.0112,-130.0112,4.118,3.328,3.3743,-48.3186,-48.3186,-11.5871942446043,-6.44248,"Yes",763.4,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
829,34,"SCOPUS-NewSearch","Global","Maize","Egypt","NA","Africa",26.8206,30.8025,22.3294689745712,23.0616703,27.1513500993038,1.764165124,2080,2005,"EC","RCP2.6","CMIP5",1.114,1.114,1.0956,1.0956,1.833,1.043,0.4484,-100,-100,-89.7666068222621,-13.3333333333333,"Yes",431.45,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
830,34,"SCOPUS-NewSearch","Global","Maize","Egypt","NA","Africa",26.8206,30.8025,22.3294689745712,23.0616703,27.1513500993038,1.764165124,2080,2005,"EC","RCP4.5","CMIP5",1.903,1.903,-2.9216,-2.9216,2.607,1.817,0.0641,-100,-100,-52.5486074619023,-13.3333333333333,"Yes",530.65,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
831,34,"SCOPUS-NewSearch","Global","Maize","Egypt","NA","Africa",26.8206,30.8025,22.3294689745712,23.0616703,27.1513500993038,1.764165124,2080,2005,"EC","RCP8.5","CMIP5",3.96,3.96,-2.1912,-2.1912,4.118,3.328,2e-04,-100,-100,-25.2525252525253,-13.3333333333333,"Yes",763.4,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
832,34,"SCOPUS-NewSearch","Global","Maize","Ethiopia","NA","Africa",9.145,40.4897,20.9832999067303,27.73085022,1028.41723358247,643.6203186,2080,2005,"EC","RCP2.6","CMIP5",0.875,0.875,39.0763999999999,39.0763999999999,1.833,1.043,9.1951,-19.8888,-19.8888,-22.7300571428571,-2.65184,"Yes",431.45,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
833,34,"SCOPUS-NewSearch","Global","Maize","Ethiopia","NA","Africa",9.145,40.4897,20.9832999067303,27.73085022,1028.41723358247,643.6203186,2080,2005,"EC","RCP4.5","CMIP5",2.016,2.016,-2.92160000000003,-2.92160000000003,2.607,1.817,7.4607,-27.1108,-27.1108,-13.4478174603175,-3.61477333333333,"Yes",530.65,"No","No","No","No","No","No","No","No","No","Iizumi et al., 2017","10.1038/s41598-017-08214-4",2017,NA,NA,NA,NA,NA,NA,NA,NA
